County,State,Value
Aleutians East,AK,106.1
Pitkin,CO,133.8
Eagle,CO,157.5
Summit,CO,171.8
Aleutians West,AK,184.7
San Miguel,CO,186
Ouray,CO,210.9
Teton,WY,215.2
Manassas Park,VA,221.1
Blaine,ID,234.1
Douglas,CO,242.2
Collier,FL,247.8
Fairfax,VA,253.7
Vega Alta,PR,254.3
Routt,CO,256.8
Toa Alta,PR,258
Barranquitas,PR,258.1
Carver,MN,258.8
Marin,CA,261
Hatillo,PR,261.6
Camuy,PR,261.9
Ceiba,PR,261.9
Park,CO,262.4
Washington,MN,266.7
Morovis,PR,267
Quebradillas,PR,267.8
Loiza,PR,267.9
Dakota,MN,268.6
Montgomery,MD,270
Yabucoa,PR,270.3
Trujillo Alto,PR,270.5
Juncos,PR,270.6
Naranjito,PR,270.9
Corozal,PR,270.9
Canovanas,PR,270.9
Cayey,PR,271.1
Chatham,NC,272.9
Loudoun,VA,274
Carolina,PR,274.9
Luquillo,PR,276.4
San Lorenzo,PR,276.5
Lincoln,ID,276.6
Gurabo,PR,277.1
Humacao,PR,277.5
Rio Grande,PR,277.5
Cidra,PR,278.1
Fairfax City,VA,278.1
Comerio,PR,278.8
Arecibo,PR,278.9
San Juan,PR,279
Isabela,PR,279.1
Las Piedras,PR,279.7
Caguas,PR,279.7
Camas,ID,279.8
Hennepin,MN,279.9
Aguada,PR,280
Beaufort,SC,280
Washington,UT,280.1
Rincon,PR,280.3
Anoka,MN,280.6
Guaynabo,PR,281.7
Cabo Rojo,PR,281.7
Sarasota,FL,282.2
Hormigueros,PR,282.4
Hubbard,MN,282.6
Taos,NM,282.6
Aguas Buenas,PR,283.9
San Sebastian,PR,284.1
Lincoln,SD,284.4
Gunnison,CO,285.4
Florida,PR,286.1
Dorado,PR,286.2
Bayamon,PR,286.3
Albemarle,VA,286.4
Grand,CO,286.5
Kodiak Island,AK,287.6
Arlington,VA,287.9
Ciales,PR,288.2
Barceloneta,PR,288.5
Catano,PR,289.9
Manati,PR,290
Cavalier,ND,290.5
Elbert,CO,290.8
Moca,PR,291.7
Mayaguez,PR,291.8
Falls Church,VA,292.3
Sherburne,MN,292.3
Presidio,TX,293
Wright,MN,293.4
Rice,MN,293.8
Culebra,PR,294.5
Leelanau,MI,295.3
Hinsdale,CO,295.9
Anasco,PR,296.6
Cook,MN,296.8
San Francisco,CA,297.5
San Mateo,CA,298
Vieques,PR,298.1
Aibonito,PR,298.4
San German,PR,299.5
Naguabo,PR,300.4
Santa Clara,CA,300.7
Utuado,PR,300.8
Scott,MN,300.9
Toa Baja,PR,301.3
Howard,MD,303.4
Watauga,NC,303.8
Broomfield,CO,303.8
Stearns,MN,304.4
Monterey,CA,304.5
Fajardo,PR,304.7
Benton,OR,305.5
Valley,ID,306.3
Sully,SD,307.1
Arapahoe,CO,307.2
Boulder,CO,307.3
Middlesex,MA,307.5
York,VA,307.5
Moffat,CO,307.7
San Juan,WA,308.2
Martin,FL,309.3
Williamsburg,VA,309.5
Los Alamos,NM,309.6
Santa Fe,NM,310.1
Mora,NM,310.2
Clay,MN,310.3
Waseca,MN,310.5
Santa Cruz,CA,310.6
Jeff Davis,TX,310.8
Washington,OR,312.6
Glades,FL,313.1
Alexandria,VA,313.3
Park,MT,313.4
Steele,MN,313.8
Kandiyohi,MN,314.7
Scott,KS,314.9
Costilla,CO,315.3
Daniels,MT,315.3
Garfield,UT,315.4
Isanti,MN,315.5
Prince William,VA,315.7
Maricao,PR,315.9
Archuleta,CO,316.8
Olmsted,MN,317.2
Gallatin,MT,317.2
King,WA,317.5
Coconino,AZ,317.6
Las Marias,PR,317.8
Pinal,AZ,317.9
Nicollet,MN,318.7
Fort Bend,TX,318.9
Blue Earth,MN,319.1
Lane,KS,319.5
Garfield,CO,319.6
Cumberland,ME,319.9
Williamson,TX,320
Collin,TX,320.2
Chelan,WA,320.3
Cass,MN,320.4
Sioux,IA,320.6
Mono,CA,320.8
Waukesha,WI,321.1
Dane,WI,321.2
Ramsey,MN,321.3
Palm Beach,FL,321.4
Suffolk,MA,321.7
Kalawao,HI,321.9
Cheyenne,CO,321.9
Park,WY,321.9
Finney,KS,322.1
Kearny,KS,322.3
San Benito,CA,322.4
Guayama,PR,322.7
Charlotte,FL,323
Larimer,CO,323.1
Jackson,CO,323.5
Rio Blanco,CO,323.6
Travis,TX,323.7
Stanley,SD,323.9
King George,VA,324.4
Lafayette,WI,324.7
Hamilton,IN,324.8
Orange,NC,325
Norfolk,MA,325.6
Boise,ID,325.8
Lee,FL,326.2
Dallas,IA,326.2
Salinas,PR,326.3
Clear Creek,CO,326.4
Becker,MN,326.5
Maui,HI,326.6
Jefferson,WA,326.6
Kauai,HI,326.7
Broadwater,MT,326.8
Alameda,CA,327
Cass,ND,328.2
Nevada,CA,328.3
Meeker,MN,328.4
Chittenden,VT,328.4
Wichita,KS,328.8
Chippewa,MN,329.5
Yuma,AZ,329.6
Crow Wing,MN,329.7
Lajas,PR,329.8
La Plata,CO,330
Portage,WI,330.1
Winnebago,WI,330.2
Lemhi,ID,330.2
Placer,CA,330.6
Chaffee,CO,330.7
Ward,ND,330.9
McIntosh,GA,331
Vega Baja,PR,331
Adams,ND,331.1
Chisago,MN,331.1
Sandoval,NM,331.2
St. Johns,FL,331.3
Rio Arriba,NM,331.7
Lyon,MN,332.1
Beltrami,MN,332.4
Orocovis,PR,332.4
Granite,MT,333
Dona Ana,NM,333
Hunterdon,NJ,333.3
Mills,IA,333.5
Marathon,WI,333.6
St. Croix,WI,333.7
DeSoto,FL,333.8
Lincoln,CO,334.2
York,ME,335.5
Madison,MT,335.6
Cache,UT,335.6
Jackson,MN,335.7
Mower,MN,335.7
Sumter,FL,336
Contra Costa,CA,336.1
Stafford,VA,336.2
Lewis and Clark,MT,336.3
