County,Population,Median household income,State Code,State
Autauga ,55221,51281,AL,Alabama
Baldwin ,195121,50254,AL,Alabama
Barbour ,26932,32964,AL,Alabama
Bibb ,22604,38678,AL,Alabama
Blount ,57710,45813,AL,Alabama
Bullock ,10678,31938,AL,Alabama
Butler ,20354,32229,AL,Alabama
Calhoun ,116648,41703,AL,Alabama
Chambers ,34079,34177,AL,Alabama
Cherokee ,26008,36296,AL,Alabama
Chilton ,43819,41627,AL,Alabama
Choctaw ,13395,33536,AL,Alabama
Clarke ,25070,32011,AL,Alabama
Clay ,13537,35327,AL,Alabama
Cleburne ,15002,38056,AL,Alabama
Coffee ,50884,46729,AL,Alabama
Colbert ,54444,40576,AL,Alabama
Conecuh ,12865,24900,AL,Alabama
Coosa ,11027,31212,AL,Alabama
Covington ,37886,36444,AL,Alabama
Crenshaw ,13938,36022,AL,Alabama
Cullman ,80965,38971,AL,Alabama
Dale ,49866,45028,AL,Alabama
Dallas ,42154,27306,AL,Alabama
DeKalb ,71068,38192,AL,Alabama
Elmore ,80763,53555,AL,Alabama
Escambia ,37935,32330,AL,Alabama
Etowah ,103766,39220,AL,Alabama
Fayette ,16896,34680,AL,Alabama
Franklin ,31634,35372,AL,Alabama
Geneva ,26815,36024,AL,Alabama
Greene ,8697,20541,AL,Alabama
Hale ,15256,32714,AL,Alabama
Henry ,17252,41997,AL,Alabama
Houston ,103534,41571,AL,Alabama
Jackson ,52860,37745,AL,Alabama
Jefferson ,659026,45610,AL,Alabama
Lamar ,14133,35450,AL,Alabama
Lauderdale ,92737,43125,AL,Alabama
Lawrence ,33586,40003,AL,Alabama
Lee ,150982,44570,AL,Alabama
Limestone ,88805,49570,AL,Alabama
Lowndes ,10742,25876,AL,Alabama
Macon ,20018,30738,AL,Alabama
Madison ,346438,57993,AL,Alabama
Marengo ,20306,32042,AL,Alabama
Marion ,30387,32299,AL,Alabama
Marshall ,94318,38983,AL,Alabama
Mobile ,414251,43809,AL,Alabama
Monroe ,22217,27257,AL,Alabama
Montgomery ,228138,44369,AL,Alabama
Morgan ,119786,45751,AL,Alabama
Perry ,10038,24537,AL,Alabama
Pickens ,19856,30330,AL,Alabama
Pike ,33155,32825,AL,Alabama
