County,State, Value ,
Holmes,MS, 22.00 ,  
Buffalo,SD, 22.50 ,  
Owsley,KY, 23.10 ,  
Wilcox,AL, 24.20 ,  
McDowell,WV, 24.50 ,  
Stewart,GA, 24.90 ,  
Clay,KY, 24.90 ,  
McCreary,KY, 25.10 ,  
Harlan,KY, 25.20 ,  
Perry,AL, 25.20 ,  
Lee,KY, 25.40 ,  
Humphreys,MS, 25.50 ,  
Zavala,TX, 25.50 ,  
East Carroll,LA, 25.80 ,  
Bell,KY, 26.00 ,  
Quitman,MS, 26.20 ,  
Wilkinson,MS, 26.40 ,  
Greene,AL, 26.60 ,  
Breathitt,KY, 26.70 ,  
Jefferson,MS, 26.70 ,  
Tensas,LA, 26.70 ,  
Starr,TX, 26.70 ,  
Coahoma,MS, 26.80 ,  
Sumter,AL, 26.80 ,  
Lee,AR, 26.90 ,  
Early,GA, 26.90 ,  
Allendale,SC, 26.90 ,  
Issaquena,MS, 27.00 ,  
Costilla,CO, 27.20 ,  
Madison,LA, 27.30 ,  
Knox,KY, 27.40 ,  
Clay,GA, 27.60 ,  
Leflore,MS, 27.60 ,  
Brooks,TX, 27.70 ,  
Sharkey,MS, 27.90 ,  
Luna,NM, 28.20 ,  
Hancock,TN, 28.20 ,  
Williamsburg,SC, 28.30 ,  
Wolfe,KY, 28.40 ,  
Leslie,KY, 28.60 ,  
Magoffin,KY, 29.00 ,  
Quay,NM, 29.00 ,  
Phillips,AR, 29.10 ,  
Todd,SD, 29.10 ,  
Tallahatchie,MS, 29.20 ,  
Noxubee,MS, 29.30 ,  
Claiborne,MS, 29.30 ,  
Letcher,KY, 29.30 ,  
Casey,KY, 29.40 ,  
Chicot,AR, 29.50 ,  
Wheeler,GA, 29.50 ,  
Sunflower,MS, 29.50 ,  
Shannon,MO, 29.50 ,  
Bolivar,MS, 29.60 ,  
Clinton,KY, 29.60 ,  
Searcy,AR, 29.70 ,  
Conecuh,AL, 29.80 ,  
Knott,KY, 29.80 ,  
Martin,KY, 29.90 ,  
Taliaferro,GA, 30.10 ,  
Oregon,MO, 30.10 ,  
Lake,TN, 30.10 ,  
Tunica,MS, 30.20 ,  
Washington,MS, 30.20 ,  
Woodruff,AR, 30.40 ,  
Dallas,AL, 30.50 ,  
Quitman,GA, 30.50 ,  
Sierra,NM, 30.50 ,  
Hancock,GA, 30.60 ,  
Jenkins,GA, 30.60 ,  
Fulton,KY, 30.60 ,  
Mingo,WV, 30.60 ,  
Webster,WV, 30.60 ,  
Norton,VA, 30.60 ,  
Macon,AL, 30.70 ,  
Cumberland,KY, 30.80 ,  
Jackson,KY, 30.80 ,  
Ripley,MO, 30.80 ,  
Wayne,MO, 30.80 ,  
Jefferson Davis,MS, 30.80 ,  
Ziebach,SD, 30.80 ,  
Wayne,KY, 30.90 ,  
Kemper,MS, 31.00 ,  
Clay,TN, 31.00 ,  
Hall,TX, 31.00 ,  
Willacy,TX, 31.20 ,  
Corson,SD, 31.30 ,  
Floyd,KY, 31.30 ,  
Macon,GA, 31.40 ,  
McKinley,NM, 31.50 ,  
Guadalupe,NM, 31.50 ,  
Summers,WV, 31.50 ,  
Marion,SC, 31.60 ,  
Taylor,GA, 31.60 ,  
Randolph,GA, 31.70 ,  
San Miguel,NM, 31.70 ,  
Attala,MS, 31.70 ,  
Yazoo,MS, 31.80 ,  
Perry,KY, 31.80 ,  
Dillon,SC, 31.80 ,  
Buchanan,VA, 31.80 ,  
Franklin,LA, 31.90 ,  
Whitley,KY, 32.00 ,  
Turner,GA, 32.00 ,  
Lowndes,AL, 32.00 ,  
Stone,AR, 32.00 ,  
Walthall,MS, 32.00 ,  
Ozark,MO, 32.00 ,  
Lee,SC, 32.00 ,  
Cocke,TN, 32.00 ,  
Treutlen,GA, 32.10 ,  
Natchitoches,LA, 32.10 ,  
Johnson,GA, 32.20 ,  
St. Landry,LA, 32.20 ,  
Bamberg,SC, 32.20 ,  
Telfair,GA, 32.30 ,  
Lafayette,AR, 32.30 ,  
Morehouse,LA, 32.30 ,  
Desha,AR, 32.40 ,  
Sharp,AR, 32.40 ,  
Mississippi,MO, 32.40 ,  
Fentress,TN, 32.40 ,  
Grundy,TN, 32.50 ,  
Lincoln,WV, 32.50 ,  
Lee,VA, 32.50 ,  
Pike,MS, 32.50 ,  
Choctaw,OK, 32.50 ,  
Emanuel,GA, 32.50 ,  
Ben Hill,GA, 32.60 ,  
Choctaw,AL, 32.70 ,  
Concordia,LA, 32.70 ,  
Pike,KY, 32.70 ,  
McCurtain,OK, 32.70 ,  
Wright,MO, 32.70 ,  
Presidio,TX, 32.70 ,  
Dickenson,VA, 32.80 ,  
De Baca,NM, 32.80 ,  
Lewis,KY, 32.80 ,  
Barbour,AL, 32.90 ,  
Polk,AR, 32.90 ,  
Monroe,AR, 32.90 ,  
Candler,GA, 33.00 ,  
Red River,LA, 33.00 ,  
Halifax,NC, 33.00 ,  
New Madrid,MO, 33.00 ,  
Adams,MS, 33.00 ,  
Marlboro,SC, 33.00 ,  
Douglas,MO, 33.10 ,  
Levy,FL, 33.10 ,  
Newton,AR, 33.10 ,  
Catahoula,LA, 33.20 ,  
Dunklin,MO, 33.20 ,  
Socorro,NM, 33.20 ,  
Mellette,SD, 33.20 ,  
Pemiscot,MO, 33.30 ,  
Carter,MO, 33.30 ,  
Covington,MS, 33.30 ,  
Webster,LA, 33.30 ,  
Elliott,KY, 33.30 ,  
Alexander,IL, 33.30 ,  
Atkinson,GA, 33.30 ,  
Monroe,KY, 33.40 ,  
