County,State,Value,
Blaine,NE,1.1,  
Denali,AK,1.3,  
Loup,NE,1.7,  
Falls Church,VA,1.8,  
Rich,UT,1.9,  
Petroleum,MT,1.9,  
Los Alamos,NM,2,  
Gilpin,CO,2,  
Ouray,CO,2,  
Clear Creek,CO,2.1,  
Douglas,CO,2.1,  
Morgan,UT,2.8,  
Grant,NE,2.9,  
Gallatin,MT,3.2,  
Story,IA,3.2,  
Delaware,OH,3.3,  
Dukes,MA,3.4,  
Haines,AK,3.4,  
San Juan,CO,3.5,  
Garfield,WA,3.5,  
Park,CO,3.6,  
Mineral,CO,3.6,  
Elbert,CO,3.7,  
Judith Basin,MT,3.7,  
Steele,ND,3.8,  
Latah,ID,3.8,  
Hamilton,IN,3.8,  
Ozaukee,WI,3.8,  
Albany,WY,3.8,  
Sublette,WY,3.8,  
St. Croix,WI,3.9,  
San Juan,WA,3.9,  
Brookings,SD,3.9,  
Routt,CO,3.9,  
Washington,NE,3.9,  
Garfield,NE,3.9,  
Frontier,NE,3.9,  
Carver,MN,3.9,  
Washington,MN,3.9,  
Juneau,AK,4,  
Waukesha,WI,4,  
Poquoson,VA,4.1,  
Valdez-Cordova,AK,4.1,  
Bremer,IA,4.1,  
Riley,KS,4.1,  
Cook,MN,4.1,  
Lake,MN,4.2,  
Fallon,MT,4.2,  
McLean,IL,4.2,  
Larimer,CO,4.2,  
Broomfield,CO,4.2,  
Gunnison,CO,4.3,  
Johnson,KS,4.3,  
Warren,IA,4.3,  
Banner,NE,4.3,  
Park,MT,4.3,  
Prairie,MT,4.3,  
Barnstable,MA,4.4,  
Adams,ND,4.4,  
Dickinson,IA,4.4,  
Dane,WI,4.4,  
Davis,UT,4.4,  
Williamson,TN,4.5,  
Whitman,WA,4.6,  
Johnson,WY,4.6,  
Dallas,IA,4.6,  
Madison,ID,4.6,  
Kiowa,CO,4.6,  
Grand,CO,4.6,  
Benton,OR,4.6,  
Livingston,MI,4.6,  
Howard,MD,4.7,  
Stillwater,MT,4.7,  
Pitkin,CO,4.7,  
Douglas,KS,4.7,  
Mitchell,KS,4.7,  
Sheridan,WY,4.7,  
Thomas,KS,4.8,  
Monroe,IL,4.8,  
Grundy,IA,4.8,  
La Plata,CO,4.8,  
Cass,NE,4.8,  
Dawes,NE,4.8,  
Lewis and Clark,MT,4.8,  
Platte,MO,4.8,  
Leelanau,MI,4.8,  
Sarpy,NE,4.8,  
Catron,NM,4.8,  
Wayne,NE,4.9,  
Washtenaw,MI,4.9,  
Arthur,NE,4.9,  
Powder River,MT,4.9,  
Missoula,MT,4.9,  
Teller,CO,4.9,  
Johnson,IA,4.9,  
Champaign,IL,4.9,  
Republic,KS,4.9,  
Park,WY,4.9,  
Teton,WY,4.9,  
Daggett,UT,4.9,  
Sully,SD,5,  
Clay,SD,5,  
Lincoln,SD,5,  
Jackson,KS,5,  
Rockingham,NH,5,  
Hunterdon,NJ,5.1,  
Cheyenne,NE,5.1,  
Scott,MN,5.1,  
Sagadahoc,ME,5.1,  
Miami,KS,5.1,  
Kossuth,IA,5.1,  
Fayette,GA,5.1,  
Island,WA,5.1,  
Jefferson,IA,5.2,  
Ottawa,KS,5.2,  
Sherman,KS,5.2,  
Jewell,KS,5.2,  
Douglas,MN,5.2,  
Jefferson,MT,5.2,  
Wheeler,NE,5.2,  
Garden,NE,5.2,  
Storey,NV,5.3,  
Dakota,MN,5.3,  
Dodge,MN,5.3,  
Clay,MN,5.3,  
Cumberland,ME,5.3,  
Grand Traverse,MI,5.3,  
Keweenaw,MI,5.3,  
Pottawatomie,KS,5.3,  
Winneshiek,IA,5.3,  
Linn,IA,5.3,  
Ada,ID,5.3,  
Meade,SD,5.3,  
Boulder,CO,5.4,  
Fairbanks North Star,AK,5.4,  
Piatt,IL,5.4,  
Woodford,IL,5.4,  
Rawlins,KS,5.4,  
Marquette,MI,5.4,  
Beaverhead,MT,5.4,  
Hooker,NE,5.4,  
Tompkins,NY,5.5,  
Broadwater,MT,5.5,  
St. Charles,MO,5.5,  
